coordinates,name,description,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,severitytext,source,iso3,eventtype,GDACS ID,Name,Countries,Start Date,Duration,Impact
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[65.5, 40.996]",Drought in Uzbekistan,Drought in Uzbekistan,Green Drought in Uzbekistan from: 21 Nov 2017  to: 06 Sep 2018 .,Green,1,Green,0.75,Uzbekistan,2017-11-21T00:00:00,2018-09-06T09:57:00,18686.0,Minor impact for agricultural drought in 18686 km2,GDO,UZB,DR,DR 1012172, Central Asia-2018,Uzbekistan,End of Nov 2017 ,289 days (at 15 Sep 2018),Minor impact for agricultural drought in 18686 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
"[-50.105, -21.917]",Drought in Brazil,Drought in Brazil,Green Drought in Brazil from: 21 Dec 2017  to: 06 Sep 2018 .,Green,1,Green,0.5,Brazil,2017-12-21T00:00:00,2018-09-06T09:57:00,87604.0,Minor impact for agricultural drought in 87604 km2,GDO,BRA,DR,DR 1012174, South Brazil-2018,Brazil,End of Dec 2017 ,259 days (at 15 Sep 2018),Minor impact for agricultural drought in 87604 km2
"[65.5, 40.996]",Drought in Uzbekistan,Drought in Uzbekistan,Green Drought in Uzbekistan from: 21 Nov 2017  to: 06 Sep 2018 .,Green,1,Green,0.75,Uzbekistan,2017-11-21T00:00:00,2018-09-06T09:57:00,18686.0,Minor impact for agricultural drought in 18686 km2,GDO,UZB,DR,DR 1012172, Central Asia-2018,Uzbekistan,End of Nov 2017 ,289 days (at 15 Sep 2018),Minor impact for agricultural drought in 18686 km2
"[11.087, 53.882]","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Drought in Germany, Denmark, France, Latvia, Poland, Sweden","Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",2017-07-21T00:00:00,2019-02-09T15:07:00,80936.0,Minor impact for agricultural drought in 80936 km2,GDO,DEU,DR,DR 1012168, Central Northern Europe-2018,"Germany, Denmark, France, Latvia, Poland, Sweden",End of Jul 2017 ,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
